uniName,sat verbal,sat math,male:female ratio,percent-admittance,student:faculty ratio,percent-financial-aid
adelphi,675,675,55:45,20,5:1,40
abilene-christian-university,NA,NA,50:50,90,21:1,70
huntington-college,450,500,55:45,90,13:1,90
trinity-college,560,600,51:49,45,9:1,85
university-of-portland,500,480,1:1,90,15:1,30
florida-academic-university,510,500,2:1,80,20:1,70
mesa,NA,NA,7:6,95,20:1,60
golden-gate-college,500,500,3:10,100,20:1,25
augsburg,420,490,13:10,85,10:1,80
vanderbilt,550,600,1:1,60,7:1,35
university-of-alabama,470,535,51:49,70,17:1,50
auburn,480,545,11:9,90,18:1,50
queens,450,450,40:60,70,18:1,50
baruch,450,400,50:50,60,15:1,80
nicholls-state,0,0,50:50,100,20:1,90
touro,520,490,40:60,60,15:1,90
eastern-michigan,NA,NA,40:60,70,20:1,65
georgetown,600,620,45:55,30,NA,50
university-of-pittsburgh,480,530,50:50,75,12:1,NA
university-of-missouri,494,529,50:50,65,11:1,30
university-of-kansas,480,460,55:45,80,16:1,50
university-of-evansville,458,516,40:60,80,15:1,55
university-of-lowell,472,535,60:40,60,16:1,65
oklahoma-state-university,470,470,60:40,80,20:1,50
seton-hall,430,452,50:50,65,28:1,60
barnard,630,610,0:100,60,8:1,60
fordham,525,540,55:45,60,17:1,70
marist-college,500,500,50:50,40,18:1,85
hampshire-college,550,540,60:65,75,15:1,20
st-johns-u,468,508,10:6,75,18:1,75
newyorkit,410,470,55:45,80,20:1,75
wayne-state-college,NA,NA,10:14,100,20:1,5
university-of-mississippi,NA,NA,55:45,90,10:1,50
reed,625,625,60:40,80,10:1,40
lesley,420,400,20:80,70,NA,40
university-of-puget-sound,510,549,50:50,80,NA,70
emory,550,600,55:45,35,NA,35
university-of-bridgeport,432,488,53:47,80,20:1,35
bard,560,520,45:55,70,9:1,80
drew,535,553,52:48,70,15:1,50
swarthmore,620,660,56:44,50,10:1,50
wesleyan,635,660,50:50,35,9:1,60
mount-holyoke,610,590,0:100,50,8:1,60
tulane,552,594,60:40,80,11:1,30
texas-christian-university,515,515,50:50,70,15:1,60
oregon-institute-of-technology,404,443,3:1,80,14:1,15
san-jose-state,425,465,50:50,60,NA,20
university-of-chicago,620,640,60:40,40,NA,60
bryn-mawr,640,610,0:100,50,NA,30
oberlin,550,550,50:50,70,NA,50
university-of-texas,300,300,50:50,60,15:1,40
corpus-christi-state-u,250,250,70:30,80,12:1,40
villanova,528,585,4:3,60,14:1,NA
glassboro-state-college,440,470,3:3,50,18:1,NA
saint-elizabeths,428,440,0:100,90,10:1,NA
juilliard,0,0,40:60,15,7:1,70
eastman-school-of-music,0,400,40:60,15,7:1,40
butler,500,530,40:60,80,15:1,75
syracuse,535,560,50:50,NA,14:1,60
rutgers,550,600,47:53,50,16:1,40
university-of-minnesota,490,557,55:45,80,16:1,50
university-of-maryland,468,529,55:45,60,16:1,50
northwestern,590,630,50:50,45,9:1,65
michigan-state,450,500,50:50,90,25:1,10
monmouth-college,500,550,48:52,80,15:1,60
clarkson-university,535,640,80:20,70,20:1,80
colorado-college,600,600,1:9,30,14:1,40
suny-plattsburgh,600,600,2:3,40,14:1,60
chalmers-university-of-technology,0,0,20:80,20,10:1,100
gothenburg-university,0,0,50:50,30,15:1,100
university-of-denver,510,540,70:30,70,14:1,50
holy-cross,600,575,50:50,NA,10:1,0
bucknell,600,500,60:40,35,8:1,75
university-of-the-pacific,560,550,48:52,80,17:1,65
university-of-toledo,450,450,50:50,95,20:1,75
university-of-the-district-of-columbia,500,510,44:56,95,14:1,30
university-of-southdakota,act-21,act-21,50:50,80,19:1,85
yanktown-college,450,400,70:30,95,10:1,95
baylor-university,485,521,45:559,65,21:1,65
dallas-baptist-college,act-15,act-15,55:45,100,19:1,65
suny-binghamton,575,525,45:55,50,15:1,80
suny-buffalo,450,525,60:40,90,14:1,50
suny-albany,525,575,50:50,60,19:1,80
ohio-state,450,500,55:45,90,16:1,30
university-of-washington,525,575,50:50,65,15:1,35
university-of-northcarolina,510,552,3:4,NA,14:1,NA
northcarolina-state-university,466,538,9:4,0,14:1,0
walla-walla-college,400,400,54:46,70,10:1,70
vassar,600,600,40:60,50,5:1,50
college-of-newrochelle,600,600,0:100,70,15:1,80
university-of-massachusetts-amherst,475,525,50:50,70,18:1,40
university-of-notre-dame,600,600,70:30,50,11:1,50
university-of-colorado,500,550,60:40,70,16:1,60
colorado-school-of-mines,550,600,80:20,60,18:1,50
william-paterson-college,475,500,1:1,50,NA,40
ecole-nationale-superieure-de-telecommunication-de-paris,0,0,90:10,10,5:1,100
universite-saint-joseph,0,0,60:40,70,6:1,10
american-university-of-beirut,0,0,60:40,50,4:1,20
university-of-oregon,475,515,51:49,80,NA,30
purdue,475,525,58:42,80,NA,50
university-west-virginia,NA,NA,55:45,95,NA,80
depaul-university,540,540,50:50,75,NA,55
university-of-georgia,492,534,50:50,80,NA,60
adelphi,500,475,30:70,70,15:1,60
arizona-state,450,500,50:50,80,20:1,50
boston-college,500,550,40:60,50,20:1,60
boston-university,550,575,45:55,60,12:1,60
brown,625,650,50:50,20,11:1,40
cal-tech,650,780,70:30,20,10:1,70
carnegie-mellon,600,650,60:40,40,10:1,70
case-western,550,650,70:30,85,9:1,65
ccny,NA,NA,60:40,80,15:1,80
colgate,NA,NA,55:45,40,13:1,60
columbia,625,650,70:30,30,9:1,60
cooper-union,NA,NA,70:30,20,6:1,35
cornell,600,650,55:45,30,7:1,50
dartmouth,625,650,60:40,20,7:1,40
florida-tech,500,550,80:20,60,20:1,60
florida-state,500,525,45:55,60,20:1,40
georgia-tech,525,625,80:20,60,20:1,20
harvard,700,675,65:35,20,10:1,60
hofstra,500,525,50:50,70,NA,80
illinois-tech,450,575,90:10,50,25:1,65
johns-hopkins,625,675,70:30,50,10:1,70
mit,650,750,75:25,30,5:1,50
university-of-montana,NA,NA,65:35,90,21:1,65
morgan-state,300,325,40:60,70,13:1,NA
newjersey-tech,450,575,90:10,50,25:1,65
nyu,550,575,50:50,50,7:1,50
pratt,425,475,60:40,50,7:1,80
princeton,650,675,65:35,20,7:1,50
rensselaer,575,700,80:20,50,11:1,60
rochester-tech,525,575,65:35,70,14:1,60
stanford,625,675,55:45,20,10:1,45
stevens,500,625,80:20,60,13:1,65
temple,475,500,50:50,70,11:1,60
texas-a&m,475,550,60:40,80,12:1,20
university-of-california-berkeley,530,600,55:45,50,11:1,NA
university-of-california-davis,500,550,50:50,70,15:1,40
ucla,500,550,50:50,80,11:1,50
university-of-california-san-diego,550,600,55:45,80,15:1,25
university-of-california-santa-cruz,525,550,50:50,70,18:1,65
university-of-maine,500,500,55:45,90,15:1,70
university-of-oklahoma,NA,NA,60:40,90,20:1,30
university-of-pennsylvania,600,650,60:40,40,10:1,60
university-of-san-francisco,450,525,50:50,60,13:1,70
usc,475,525,60:40,70,18:1,60
worcester,550,650,80:20,50,12:1,70
yale,675,675,55:45,20,5:1,40
penn-state,620,680,60:40,40,10:13,60
university-of-michigan,540,600,10:8,60,15:1,60
northeastern,NA,NA,2:1,80,22:1,55
rice,621,671,2:1,35,9:1,80
notre-dame,570,640,5:2,35,12:1,50
newengland-college,590,590,50:1,50,13:1,40
suny-stony-brook,0,0,1:1,50,n:30:1,15
suffolk-community-college,500,500,1:100,80,25:1,15
clark-university,550,576,50:50,60,13:1,50
university-of-hartford,445,491,45:55,75,13:1,40
lewis-and-clark,530,550,50:50,70,NA,40
bennington,NA,NA,30:70,70,9:1,40
smith,610,600,1:100,50,10:1,30
university-of-the-south,550,600,60:40,60,10:1,50
polytechnic-institute-of-newyork,600,600,87:13,75,8:1,80
tufts,600,600,50:50,35,14:1,45
university-of-virginia,585,625,50:50,40,10:1,30
washington-and-lee,550,595,1:0,60,10:1,30
university-of-rochester,550,550,60:40,80,10:1,70
sam-houston-state-university,400,400,50:50,80,30:1,30
manhattanville-college,500,530,30:70,60,11:1,60
suny-purchase,525,525,35:65,40,17:1,5
brandeis,580,630,48:52,60,10:1,40
george-washington,530,560,50:50,75,14:1,45
oral-roberts-university,463,490,1:1,65,11:1,70
university-of-tulsa,471,520,3:2,85,16:1,75
connecticut-college,550,575,35:65,40,10:1,30
lehigh-university,550,650,75:25,50,10:1,45
oregon-state,NA,NA,80:60,90,17:1,65
